hg19_1540	Barski_lab	CD4_Tcells	POLR2A	CD4+_T_cells+invitrogen	Unpublished	T_lymphocyte	EBV-	human
hg19_0046	ENCODE	GM12878	BCL11A	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_0048	ENCODE	GM12878	BCL3	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_0052	ENCODE	GM12878	BCLAF1	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_0057	ENCODE	GM12878	BHLHE40	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_0061	ENCODE	GM12878	BRCA1	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_0140	ENCODE	GM12878	CEBPB	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_0158	ENCODE	GM12878	CHD1	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_0161	ENCODE	GM12878	CHD2	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_0183	ENCODE	GM12878	CTCF	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_0283	ENCODE	GM12878	E2F4	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_0300	ENCODE	GM12878	EBF1	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_0305	ENCODE	GM12878	EGR1	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_0312	ENCODE	GM12878	ELF1	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_0326	ENCODE	GM12878	ELK1	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_0338	ENCODE	GM12878	EP300	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_0406	ENCODE	GM12878	ETS1	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_0432	ENCODE	GM12878	EZH2	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_0460	ENCODE	GM12878	FOS	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_0506	ENCODE	GM12878	FOXM1	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_0513	ENCODE	GM12878	GABPA	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_0629	ENCODE	GM12878	IKZF1	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_0654	ENCODE	GM12878	IRF4	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_0669	ENCODE	GM12878	JUND	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_0701	ENCODE	GM12878	MAX	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_0727	ENCODE	GM12878	MAZ	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_0746	ENCODE	GM12878	MEF2A	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_0748	ENCODE	GM12878	MEF2C	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_0755	ENCODE	GM12878	MTA3	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_0756	ENCODE	GM12878	MXI1	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_0770	ENCODE	GM12878	MYC	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_0837	ENCODE	GM12878	NFATC1	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_0838	ENCODE	GM12878	NFE2	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_0842	ENCODE	GM12878	NFIC	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_0858	ENCODE	GM12878	NFYA	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_0867	ENCODE	GM12878	NFYB	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_0887	ENCODE	GM12878	NR2C2	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_0915	ENCODE	GM12878	NRF1	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_0933	ENCODE	GM12878	PAX5	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_0937	ENCODE	GM12878	PBX3	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_0953	ENCODE	GM12878	PML	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_0963	ENCODE	GM12878	POLR2A	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_1009	ENCODE	GM12878	POU2F2	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_1025	ENCODE	GM12878	RAD21	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_1050	ENCODE	GM12878	RCOR1	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_1067	ENCODE	GM12878	RELA	GM12878+TNFa	22955619	B_lymphocyte	EBV+	human
hg19_1092	ENCODE	GM12878	REST	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_1106	ENCODE	GM12878	RFX5	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_1129	ENCODE	GM12878	RUNX3	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_1130	ENCODE	GM12878	RXRA	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_1145	ENCODE	GM12878	SIN3A	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_1155	ENCODE	GM12878	SIX5	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_1204	ENCODE	GM12878	SMC3	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_1222	ENCODE	GM12878	SP1	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_1249	ENCODE	GM12878	SPI1	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_1273	ENCODE	GM12878	SRF	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_1282	ENCODE	GM12878	STAT1	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_1299	ENCODE	GM12878	STAT3	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_1315	ENCODE	GM12878	STAT5A	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_1325	ENCODE	GM12878	TAF1	GM12878	22955619	B_lymphocyte	EBV+	human
